Symbol,CurrentPrice,LastUpdated
ADANIENT.NS,2228.2,2026-02-04 16:56:35
ADANIPORTS.NS,1565.7,2026-02-04 16:56:35
APOLLOHOSP.NS,7116.0,2026-02-04 16:56:35
ASIANPAINT.NS,2452.7,2026-02-04 16:56:35
AXISBANK.NS,1339.8,2026-02-04 16:56:35
BAJAJ-AUTO.NS,9639.0,2026-02-04 16:56:35
BAJFINANCE.NS,963.95,2026-02-04 16:56:35
BAJAJFINSV.NS,2019.6,2026-02-04 16:56:35
BPCL.NS,382.0,2026-02-04 16:56:35
BHARTIARTL.NS,2025.8,2026-02-04 16:56:35
BRITANNIA.NS,5877.0,2026-02-04 16:56:35
CIPLA.NS,1329.0,2026-02-04 16:56:35
COALINDIA.NS,434.0,2026-02-04 16:56:35
DIVISLAB.NS,6054.5,2026-02-04 16:56:35
DRREDDY.NS,1239.8,2026-02-04 16:56:35
EICHERMOT.NS,7258.0,2026-02-04 16:56:35
GRASIM.NS,2842.7,2026-02-04 16:56:35
HCLTECH.NS,1617.0,2026-02-04 16:56:35
HDFCBANK.NS,949.0,2026-02-04 16:56:35
HDFCLIFE.NS,721.6,2026-02-04 16:56:35
HEROMOTOCO.NS,5856.0,2026-02-04 16:56:35
HINDALCO.NS,964.95,2026-02-04 16:56:35
HINDUNILVR.NS,2371.0,2026-02-04 16:56:35
ICICIBANK.NS,1406.1,2026-02-04 16:56:35
ITC.NS,313.85,2026-02-04 16:56:35
INDUSINDBK.NS,920.0,2026-02-04 16:56:35
INFY.NS,1534.0,2026-02-04 16:56:35
JSWSTEEL.NS,1225.3,2026-02-04 16:56:35
KOTAKBANK.NS,412.35,2026-02-04 16:56:35
LTIM.NS,5706.5,2026-02-04 16:56:35
LT.NS,4079.0,2026-02-04 16:56:35
M&M.NS,3574.0,2026-02-04 16:56:35
MARUTI.NS,15071.0,2026-02-04 16:56:35
NTPC.NS,366.8,2026-02-04 16:56:35
NESTLEIND.NS,1295.7,2026-02-04 16:56:35
ONGC.NS,266.0,2026-02-04 16:56:35
POWERGRID.NS,289.15,2026-02-04 16:56:35
RELIANCE.NS,1456.8,2026-02-04 16:56:35
SBILIFE.NS,2041.7,2026-02-04 16:56:35
SBIN.NS,1067.9,2026-02-04 16:56:35
SUNPHARMA.NS,1703.0,2026-02-04 16:56:35
TCS.NS,2999.9,2026-02-04 16:56:35
TATACONSUM.NS,1151.8,2026-02-04 16:56:35
TATASTEEL.NS,195.4,2026-02-04 16:56:35
TECHM.NS,1645.3,2026-02-04 16:56:35
TITAN.NS,4144.0,2026-02-04 16:56:35
ULTRACEMCO.NS,12806.0,2026-02-04 16:56:35
UPL.NS,758.7,2026-02-04 16:56:35
WIPRO.NS,233.6,2026-02-04 16:56:35
